,ID,CentroidFlag,TAZID,On,Off
1011,653,,,,
1012,701,,,,
1013,2554,1,77,,
1014,704,,,,
1015,702,,,,
1016,1325,,,,
1017,707,,,,
1018,703,,,,
1019,2553,1,60,,
1020,2552,1,80,,
1021,741,,,311.32464599609375,316.0458679199219
1022,725,,,,
1023,728,,,,
1024,716,,,,
1025,2551,1,79,,
1026,1312,,,,
1027,2046,,,,
1028,2550,1,61,,
1029,2047,,,,
1030,2548,1,78,,
1031,1320,,,,
1032,2549,,,,
1033,615,,,,
1034,2409,,,,
1035,1321,,,,
1036,1272,,,,
1037,1974,,,,
1038,2016,,,,
1039,2544,1,85,,
1040,2547,,,,
1041,715,,,,
1042,2546,,,,
1043,1335,,,,
1044,2545,,,,
1045,2138,,,,
1046,2139,,,,
1047,1322,,,,
1048,718,,,253.80389404296875,95.05130767822266
1049,2543,,,,
1050,2542,1,81,,
1051,1337,,,,
1052,2137,,,,
1053,1333,,,269.6746520996094,459.2347106933594
1054,1334,,,,
1055,2539,1,62,,
1056,2050,,,,
1057,712,,,,
1058,710,,,,
1059,2541,1,64,,
1060,1331,,,,
1061,1244,,,,
1062,1346,,,,
1063,1258,,,,
1064,1245,,,,
1065,1257,,,,
1066,1260,,,,
1067,1329,,,,
1068,1323,,,265.20294189453125,61.28437423706055
1069,1327,,,,
1070,1256,,,,
1071,2540,,,,
1072,1262,,,,
1073,1264,,,,
1074,1261,,,,
1075,1265,,,,
1076,1274,,,,
1077,1266,,,,
1078,2538,,,,
1079,1273,,,,
1080,1263,,,,
1081,1373,,,,
1082,2537,1,54,,
1083,1267,,,,
1084,2021,,,,
1085,2015,,,,
1086,1979,,,,
1087,1981,,,,
1088,2018,,,,
1089,1284,,,,
1090,1283,,,,
1091,1282,,,,
1092,1980,,,,
1093,2536,1,37,,
1094,2017,,,,
1095,2531,1,36,,
1096,2534,1,56,,
1097,2535,,,78.59494018554688,114.59394836425781
1098,1280,,,,
1099,721,,,,
1100,740,,,,
1101,2533,1,33,,
1102,2532,,,357.4554138183594,351.48651123046875
1103,2418,,,,
1104,2530,1,35,,
1105,2413,,,,
1106,2412,,,379.8232421875,285.4562683105469
1107,1814,,,,
1108,1816,,,,
1109,1817,,,,
1110,1243,,,222.80287170410156,130.8213653564453
1111,2527,1,12,,
1112,1819,,,,
1113,1808,,,,
1114,1811,,,,
1115,1809,,,,
1116,1810,,,,
1117,1341,,,,
1118,1344,,,,
1119,1342,,,255.0496063232422,383.550048828125
1120,1345,,,,
1121,2526,1,20,,
1122,2524,1,21,,
1123,2525,,,30.67165756225586,61.111488342285156
1124,1316,,,,
1125,2034,,,,
1126,2064,,,,
1127,1376,,,,
1128,1377,,,,
1129,2522,1,38,,
1130,2150,,,,
1131,2170,,,,
1132,1409,,,,
1133,1410,,,,
1134,2054,,,,
1135,1411,,,,
1136,1370,,,,
1137,2514,,,,
1138,1374,,,,
1139,2521,1,39,,
1140,1369,,,204.559326171875,372.5215148925781
1141,1412,,,,
1142,2516,,,,
1143,1381,,,,
1144,2519,1,23,,
1145,1371,,,,
1146,1372,,,,
1147,1999,,,,
1148,2066,,,,
1149,2062,,,,
1150,1998,,,,
1151,2059,,,,
1152,2060,,,,
1153,2061,,,,
1154,2169,,,,
1155,1423,,,,
1156,2518,1,22,,
1157,2063,,,,
1158,1425,,,,
1159,2398,,,,
1160,1426,,,,
1161,2517,1,24,,
1162,1413,,,331.86334228515625,364.6652526855469
1163,1366,,,,
1164,1365,,,,
1165,1330,,,,
1166,1368,,,340.5276794433594,685.1470947265625
1167,1363,,,485.05279541015625,328.1259765625
1168,1367,,,,
1169,2515,1,40,,
1170,1358,,,,
1171,2509,1,41,,
1172,1357,,,,
1173,2513,1,65,,
1174,2048,,,,
1175,2049,,,,
1176,1992,,,,
1177,1990,,,,
1178,2044,,,,
1179,1619,,,,
1180,1986,,,,
1181,1361,,,,
1182,2396,,,,
1183,1360,,,,
1184,2397,,,,
1185,1353,,,,
1186,1424,,,,
1187,1359,,,,
1188,1354,,,,
1189,2512,1,82,,
1190,1332,,,,
1191,1356,,,,
1192,1339,,,,
1193,2510,1,66,,
1194,2511,,,231.70669555664062,602.6858520507812
1195,1522,,,,
1196,2042,,,,
1197,2043,,,,
1198,1988,,,,
1199,1987,,,,
1200,1989,,,,
1201,1618,,,,
1202,1985,,,,
1203,1185,,,126.11984252929688,124.27249908447266
1204,1340,,,,
1205,2508,1,42,,
1206,2407,,,199.9197235107422,274.9344177246094
1207,1319,,,,
1208,2041,,,,
1209,2040,,,,
1210,2038,,,,
1211,2507,1,83,,
1212,2404,,,,
1213,1328,,,94.0826416015625,502.01263427734375
1214,2052,,,,
1215,2051,,,,
1216,1991,,,,
1217,1621,,,,
1218,1993,,,,
1219,700,,,,
1220,2505,1,67,,
1221,2000,,,,
1222,1623,,,,
1223,2058,,,,
1224,2057,,,,
1225,1997,,,,
1226,2144,,,,
1227,2502,1,43,,
1228,2074,,,,
1229,2069,,,,
1230,2006,,,,
1231,2068,,,,
1232,2070,,,,
1233,2003,,,,
1234,1624,,,,
1235,2007,,,,
1236,2067,,,,
1237,2065,,,,
1238,2002,,,,
1239,2501,1,76,,
1240,2500,1,69,,
1241,1229,,,86.2616195678711,110.31241607666016
1242,1240,,,,
1243,2499,1,44,,
1244,1251,,,109.34130859375,72.10900115966797
1245,1228,,,,
1246,2498,1,70,,
1247,1813,,,,
1248,1812,,,,
1249,1748,,,,
1250,1171,,,,
1251,2497,1,72,,
1252,1170,,,244.0619354248047,334.9770202636719
1253,2495,1,57,,
1254,1355,,,,
1255,1822,,,,
1256,1241,,,,
1257,2493,1,45,,
1258,1823,,,,
1259,2383,,,60.073848724365234,0.0
1260,2491,1,27,,
1261,2492,,,,
1262,1751,,,,
1263,1815,,,,
1264,1818,,,,
1265,1824,,,,
1266,1825,,,,
1267,2488,1,25,,
1268,2487,1,26,,
1269,2486,1,71,,
1270,2485,1,55,,
1271,1338,,,,
1272,2484,1,46,,
1273,2483,1,28,,
1274,2045,,,,
1275,2482,1,16,,
1276,2030,,,,
1277,1978,,,,
1278,2020,,,,
1279,2031,,,,
1280,2019,,,,
1281,1612,,,,
1282,1975,,,,
1283,2481,1,47,,
1284,2135,,,,
1285,2134,,,,
1286,2127,,,,
1287,2128,,,,
1288,2133,,,,
1289,2125,,,,
1290,2129,,,,
1291,2101,,,,
1292,2132,,,,
1293,2126,,,,
1294,2131,,,,
1295,2136,,,,
1296,2130,,,,
1297,2480,1,32,,
1298,2479,1,29,,
1299,706,,,,
1300,2122,,,,
1301,2123,,,,
1302,2124,,,,
1303,2119,,,,
1304,2097,,,,
1305,2121,,,,
1306,2120,,,,
1307,2477,1,75,,
1308,2478,,,,
1309,2476,1,84,,
1310,2475,1,49,,
1311,2014,,,,
1312,1590,,,,
1313,2010,,,,
1314,2013,,,,
1315,1278,,,,
1316,1976,,,,
1317,1977,,,,
1318,2012,,,,
1319,2011,,,,
1320,1281,,,,
1321,2474,,,,
1322,2473,1,50,,
1323,1970,,,,
1324,1714,,,,
1325,1705,,,,
1326,1711,,,,
1327,1707,,,,
1328,1598,,,,
1329,1702,,,,
1330,1710,,,,
1331,1708,,,,
1332,1709,,,,
1333,876,,,,
1334,2472,1,31,,
1335,874,,,,
1336,875,,,,
1337,2471,1,15,,
1338,885,,,,
1339,887,,,,
1340,886,,,,
1341,896,,,,
1342,894,,,,
1343,893,,,,
1344,2470,1,431,,
1345,2469,1,30,,
1346,569,,,,
1347,895,,,,
1348,897,,,,
1349,2468,1,418,,
1350,543,,,97.92681121826172,174.04327392578125
1351,544,,,,
1352,1133,,,,
1353,1135,,,,
1354,1734,,,14.913616180419922,4.769180774688721
1355,1780,,,,
1356,1736,,,,
1357,1735,,,,
1358,1733,,,,
1359,1179,,,,
1360,2466,1,8,,
1361,2467,,,,
1362,1100,,,,
1363,1101,,,,
1364,1102,,,,
1365,1142,,,,
1366,1525,,,,
1367,2465,,,,
1368,2464,1,430,,
1369,1132,,,,
1370,2463,,,,
1371,1727,,,,
1372,1726,,,,
1373,1729,,,,
1374,1131,,,,
1375,2462,,,,
1376,1129,,,422.4334411621094,251.97463989257812
1377,2461,,,,
1378,2256,,,,
1379,2266,,,,
1380,2267,,,,
1381,1064,,,,
1382,2460,1,3,,
1383,2260,,,,
1384,2261,,,,
1385,2254,,,,
1386,2258,,,,
1387,2253,,,,
1388,2251,,,,
1389,2252,,,,
1390,2259,,,,
1391,1676,,,,
1392,1664,,,,
