,ID,SPEED,FUNCL,LANES,AB_CAPACITY,BA_CAPACITY,COUNT,TIME,ALPHA,BETA,TYPE,IVTT,WalkTime,Existing,Connector
1641,1840,25.0,6,1,10400,10400,5190,0.4029354214668274,2.0,4.0,,0.40293542146682737,2.518346384167671,1,
1642,1297,30.0,5,2,24000,24000,10000,0.43123745918273926,2.0,4.0,,0.43123745918273926,3.2342809438705444,1,
1643,3317,20.0,0,1,79992,79992,,2.195349097251892,0.0,4.0,,0.4435048681316954,10.97674548625946,,
1644,3316,65.0,1,3,43200,43200,,0.6465730850513165,0.15,4.0,,0.6465730850513165,10.506812632083893,,
1645,3315,65.0,1,3,43200,43200,,0.6508174125964825,0.15,4.0,,0.6508174125964825,10.57578295469284,,
1646,1298,30.0,5,2,24000,24000,10430,0.5481345653533936,2.0,4.0,,0.5481345653533936,4.111009240150452,1,
1647,1302,25.0,6,1,10400,10400,4250,1.163066053390503,2.0,4.0,,1.1630660533905028,7.269162833690643,1,
1648,3314,65.0,1,3,43200,43200,,0.6895924714895395,0.15,4.0,,0.6895924714895395,11.205877661705017,,
1649,2647,25.0,3,1,12800,12800,,0.1513860583305359,2.0,4.0,SERVICE ROAD,0.1513860583305359,0.9461628645658493,1,
1650,1826,30.0,5,2,24000,24000,23500,0.13535423576831818,2.0,4.0,,0.13535423576831818,1.0151567682623863,1,
1651,1828,30.0,5,2,24000,24000,25420,0.14527137577533722,2.0,4.0,,0.14527137577533722,1.0895353183150291,1,
1652,2652,25.0,3,1,12800,12800,,0.07883624732494354,2.0,4.0,SERVICE ROAD,0.07883624732494354,0.49272654578089714,1,
1653,2660,35.0,2,1,12000,12000,,0.09773556462356023,3.0,4.0,RAMP,0.09773556462356023,0.855186190456152,1,
1654,2659,25.0,3,1,12800,12800,,0.03073820918798447,2.0,4.0,SERVICE ROAD,0.030738209187984467,0.19211380742490292,1,
1655,2643,35.0,2,1,12000,12000,,0.08185191239629473,3.0,4.0,RAMP,0.08185191239629473,0.7162042334675789,1,
1656,2658,25.0,3,1,12800,12800,,0.05686803460121155,2.0,4.0,SERVICE ROAD,0.05686803460121155,0.3554252162575722,1,
1657,2572,30.0,5,2,24000,24000,25420,0.03934139385819435,2.0,4.0,,0.03934139385819435,0.29506045393645763,1,
1658,2574,25.0,3,1,12800,12800,,0.05011550635099411,2.0,4.0,SERVICE ROAD,0.05011550635099411,0.3132219146937132,1,
1659,2581,25.0,3,1,12800,12800,,0.05215211659669876,2.0,4.0,SERVICE ROAD,0.05215211659669876,0.32595072872936726,1,
1660,1830,30.0,5,2,24000,24000,20970,0.055567666888237,2.0,4.0,,0.055567666888237,0.4167575016617775,1,
1661,2567,30.0,5,2,24000,24000,20970,0.058211371302604675,2.0,4.0,,0.058211371302604675,0.43658528476953506,1,
1662,2639,25.0,3,1,12800,12800,,0.06573331654071808,2.0,4.0,SERVICE ROAD,0.06573331654071808,0.410833228379488,1,
1663,2641,35.0,2,1,12000,12000,,0.07259907679898399,3.0,4.0,RAMP,0.07259907679898399,0.6352419219911098,1,
1664,2645,35.0,2,1,12000,12000,,0.10828213180814471,3.0,4.0,RAMP,0.10828213180814471,0.9474686533212662,1,
